crop_type,soil_type,weather_condition,pest_pressure,disease_name,water_stress_level,irrigation_needed,ndvi,soil_moisture_percent,temperature_celsius,humidity_percent,rainfall_mm,ph_level,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_fertility_index,crop_yield,latitude,longitude,nitrogen_recommendation
Banana,Clayey,Normal,High,None,Moderate,Yes,0.509,22.9,29.5,79.3,96.6,6.28,99.2,79.6,48.9,76.7,4.95,18.3804,75.967,2.9
Orange,Silty,Normal,High,Citrus Canker,Low,No,0.392,30.0,27.8,92.7,112.0,6.52,34.3,12.5,7.7,53.1,3.41,32.1258,85.0684,0.0
Pigeonpeas,Clayey,Hot & Dry,Low,Fusarium Wilt,Low,No,0.441,25.5,31.0,30.5,114.8,4.99,36.6,67.1,15.3,42.8,3.33,13.3206,75.9072,2.9
Apple,Silty,Normal,High,Apple Scab,Low,No,0.504,41.0,23.6,90.5,114.3,5.63,36.9,144.0,202.4,88.0,4.24,15.7838,94.3073,1.1
Muskmelon,Silty,Normal,High,None,High,Yes,0.53,16.6,26.6,94.9,25.9,6.26,113.4,14.6,46.2,72.4,3.19,9.8992,72.7774,0.0
Lentil,Silty,Cool,Medium,None,Moderate,Yes,0.373,32.2,18.4,61.3,51.4,6.78,30.9,78.5,21.8,59.6,4.64,26.7214,69.7624,4.5
Orange,Silty,Cool,Medium,Citrus Canker,Low,No,0.348,43.9,14.0,90.0,107.2,6.92,31.8,24.4,10.5,52.4,3.72,17.1591,89.7512,0.9
Papaya,Clayey,Rainy,High,Papaya Ring Spot Virus,Low,No,0.589,61.0,34.0,93.8,181.2,6.91,50.7,42.8,48.4,66.8,3.83,13.4549,73.0228,0.8
Pomegranate,Silty,Normal,Low,Bacterial Blight,Low,No,0.49,27.3,20.1,87.9,100.9,6.36,33.6,18.0,41.0,57.5,4.19,24.5797,71.706,0.2
Coffee,Sandy,Rainy,Low,None,Low,No,0.634,57.6,22.8,60.6,160.7,7.13,100.3,35.4,27.6,56.6,5.77,8.7936,71.4859,0.0
Mothbeans,Sandy,Normal,Low,None,Moderate,Yes,0.453,21.9,25.2,69.7,65.4,7.58,39.6,45.7,22.5,44.5,3.9,32.3125,95.6235,3.1
Maize,Loamy,Normal,High,Gray Leaf Spot,Moderate,Yes,0.5,35.6,29.0,72.6,81.0,6.89,77.0,58.1,17.6,62.8,2.97,34.533,95.5642,3.1
Mango,Clayey,Normal,Medium,Powdery Mildew,Low,No,0.415,31.9,30.1,50.3,104.7,6.32,19.3,39.3,27.3,55.7,3.68,26.764,70.0808,3.3
Papaya,Sandy,Normal,High,Papaya Ring Spot Virus,Low,No,0.529,32.0,33.5,93.4,139.2,6.86,44.0,58.3,51.4,64.7,3.61,25.098,71.4676,7.2
Watermelon,Clayey,Normal,High,None,Moderate,Yes,0.491,19.3,22.7,85.0,51.5,6.46,85.6,20.1,49.7,67.9,4.08,8.5398,94.2092,14.5
Chickpea,Loamy,Normal,High,None,Moderate,Yes,0.344,22.4,24.8,19.0,89.1,7.05,51.6,73.9,75.4,71.3,5.06,33.4004,94.8611,0.1
Mungbean,Clayey,Normal,High,None,Moderate,Yes,0.323,19.4,28.4,82.9,54.9,6.33,23.6,36.4,22.9,59.4,4.19,15.9768,68.1197,0.0
Pigeonpeas,Clayey,Normal,Medium,None,Low,No,0.377,33.2,27.0,58.2,107.3,7.22,15.8,55.5,18.7,51.8,5.67,36.7621,74.731,2.4
Kidneybeans,Loamy,Cool,Low,None,Moderate,Yes,0.25,36.9,17.3,16.5,95.5,6.09,10.1,67.7,20.0,52.2,4.19,23.1008,77.5642,8.5
Chickpea,Clayey,Normal,Low,None,Moderate,Yes,0.355,39.0,25.1,12.5,87.0,8.23,27.7,63.7,80.0,50.4,4.23,11.6124,83.1008,11.6
Mungbean,Silty,Normal,High,None,Moderate,Yes,0.22,13.5,27.6,81.3,51.1,6.78,8.5,38.0,19.9,56.3,3.93,33.5716,81.6959,9.8
Banana,Loamy,Normal,High,Panama Wilt,Moderate,Yes,0.516,24.5,26.7,78.0,95.8,5.82,91.4,77.0,53.0,65.0,3.19,16.6818,85.8077,5.7
Coffee,Loamy,Normal,Low,None,Low,No,0.639,51.9,24.7,61.0,147.9,6.77,84.2,32.3,33.6,66.8,7.0,17.0886,96.6354,13.0
Cotton,Silty,Normal,Low,Bacterial Blight,Moderate,Yes,0.676,30.6,22.3,79.5,75.9,5.83,111.3,47.4,18.7,61.1,3.34,35.5313,88.9852,5.8
Mothbeans,Loamy,Normal,Low,None,High,Yes,0.224,27.3,26.3,65.5,48.7,9.33,15.1,49.8,24.4,16.4,1.27,22.8175,74.8362,4.1
Maize,Sandy,Normal,Low,None,Moderate,Yes,0.508,22.4,29.1,62.1,99.2,6.26,65.4,47.1,15.2,61.9,5.44,22.3282,84.0788,12.4
Apple,Clayey,Normal,High,Apple Scab,Low,No,0.275,41.5,24.5,91.9,109.9,5.63,22.3,123.3,203.4,81.8,4.2,27.3492,90.5271,2.3
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.65,62.1,26.6,80.5,240.8,6.46,79.7,54.9,44.9,76.3,4.1,36.3559,93.8393,6.8
Coffee,Loamy,Rainy,Medium,None,Low,No,0.608,52.5,21.0,66.1,165.8,7.46,94.5,16.5,32.7,54.8,5.78,8.1764,85.8408,6.1
Apple,Sandy,Normal,High,Apple Scab,Low,No,0.352,50.2,23.9,93.6,121.5,5.86,23.1,129.1,197.1,80.2,4.73,25.0927,71.7818,1.7
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.38,33.3,9.3,82.3,73.5,6.35,33.8,140.9,204.7,98.1,4.03,25.0403,96.9617,1.8
Mothbeans,Sandy,Normal,High,None,Moderate,Yes,0.334,26.5,27.5,57.7,51.3,5.76,25.4,52.1,15.5,46.9,3.3,13.6996,68.191,3.1
Cotton,Loamy,Normal,High,Bacterial Blight,Moderate,Yes,0.521,39.3,21.5,76.8,77.1,6.34,108.2,39.0,15.2,65.4,3.2,28.9834,68.84,13.5
Coffee,Loamy,Normal,Low,None,Low,No,0.709,53.6,27.2,60.2,149.2,6.01,107.9,19.4,29.0,64.9,6.27,33.8137,72.923,1.0
Jute,Silty,Rainy,High,Stem Rot,Low,No,0.614,44.1,24.6,81.6,159.2,6.97,91.3,37.1,42.8,62.1,3.35,17.4362,74.3854,3.9
Pigeonpeas,Loamy,Rainy,Low,None,Low,No,0.521,55.1,29.9,34.3,189.2,5.06,17.0,56.0,21.4,41.4,3.97,11.95,86.1408,5.6
Coffee,Loamy,Normal,High,None,Low,No,0.697,41.9,29.5,51.9,149.9,6.12,111.7,25.4,34.4,70.0,5.34,25.0834,84.7221,0.0
Jute,Sandy,Rainy,High,None,Low,No,0.565,67.9,25.1,77.4,198.6,6.19,89.0,37.9,40.0,70.8,5.61,12.8007,72.6864,4.0
Maize,Clayey,Normal,High,Maize Rust,Moderate,Yes,0.535,22.7,24.0,70.5,63.0,6.9,93.6,37.8,16.7,65.8,3.04,24.1738,80.7259,2.1
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.335,30.9,24.8,91.0,105.5,5.55,24.2,11.0,44.1,48.3,2.74,9.2218,78.1309,0.0
Pomegranate,Silty,Cool,High,Bacterial Blight,Low,No,0.348,32.0,18.5,86.6,103.4,6.0,21.6,11.0,44.3,56.8,3.47,18.2649,90.1859,2.8
Coffee,Silty,Rainy,Medium,None,Low,No,0.712,54.0,27.7,66.3,190.4,7.28,108.8,26.9,25.1,58.2,6.31,35.1323,87.4146,1.7
Banana,Silty,Normal,High,None,Moderate,Yes,0.646,28.0,26.8,79.8,90.7,5.97,100.2,71.8,50.5,69.5,4.52,9.6921,91.538,0.7
Maize,Loamy,Cool,Medium,None,Moderate,Yes,0.494,32.1,18.3,59.1,77.4,6.56,71.4,54.5,15.3,70.4,6.1,23.5545,68.2715,8.1
Jute,Loamy,Rainy,High,Stem Rot,Low,No,0.594,56.8,28.8,82.1,176.0,6.09,94.1,44.6,36.2,64.3,4.07,10.8842,76.6753,0.1
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.385,58.0,27.0,91.7,186.7,6.27,10.5,15.3,31.0,55.8,3.25,34.7785,73.4697,12.0
Cotton,Silty,Normal,Low,Bacterial Blight,Moderate,Yes,0.585,33.5,21.7,76.8,94.0,6.98,125.8,58.7,18.2,73.4,4.24,25.5386,91.9836,0.9
Grapes,Silty,Cool,High,Anthracnose,Moderate,Yes,0.273,30.1,15.8,84.8,71.7,6.41,0.9,122.0,196.0,91.6,3.65,28.5424,86.5907,17.3
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.418,54.6,28.9,99.5,160.4,5.64,34.2,6.5,25.6,41.5,2.53,8.7526,96.9164,0.0
Grapes,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.43,28.3,35.7,82.1,74.4,6.07,26.7,120.1,203.8,90.0,3.88,21.1992,81.3419,1.9
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.709,54.5,31.6,80.9,168.1,5.67,86.5,35.3,43.8,54.9,3.17,26.3601,90.0757,1.0
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.697,56.1,35.2,80.6,199.5,6.48,79.7,40.6,43.4,69.4,3.89,30.5201,69.3271,7.7
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.377,17.9,32.3,67.1,61.8,7.34,51.2,79.3,22.5,52.7,2.65,34.3198,68.3094,0.0
Orange,Clayey,Cool,Medium,Citrus Canker,Low,No,0.424,48.6,13.6,90.3,102.9,6.21,8.9,17.8,9.4,54.5,3.66,22.0292,94.7575,12.4
Coffee,Sandy,Rainy,Low,None,Low,No,0.715,55.6,23.1,59.2,155.5,7.1,98.9,24.1,33.1,60.5,6.1,25.2635,75.096,1.3
Orange,Loamy,Cool,Medium,Citrus Canker,Low,No,0.288,38.9,16.5,93.5,113.2,7.28,17.9,22.9,12.1,41.6,2.68,14.6152,92.5268,0.2
Cotton,Clayey,Normal,Medium,Bacterial Blight,Moderate,Yes,0.57,29.5,22.0,82.2,76.4,6.47,102.4,52.2,21.9,71.9,4.51,20.2077,86.852,15.3
Pigeonpeas,Silty,Rainy,Medium,None,Low,No,0.526,47.5,27.9,51.6,157.0,6.22,38.1,63.5,15.6,61.0,6.43,35.7412,75.8218,2.6
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.425,29.3,21.7,91.9,108.9,6.78,8.3,6.5,43.9,53.0,3.01,29.1052,75.163,10.8
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.669,51.7,30.8,83.8,159.1,5.5,110.6,55.7,40.1,62.1,3.36,8.0969,71.5532,4.7
Cotton,Silty,Normal,Medium,Bacterial Blight,Moderate,Yes,0.72,35.6,20.7,77.6,76.3,7.34,123.4,48.1,19.6,59.1,3.31,10.8031,70.9539,3.0
Papaya,Clayey,Normal,High,Papaya Ring Spot Virus,Low,No,0.544,38.9,24.3,90.6,143.4,6.66,66.9,38.3,48.6,65.9,3.48,8.2706,83.3733,0.9
Watermelon,Sandy,Normal,High,Anthracnose,Moderate,Yes,0.445,16.7,20.3,81.8,58.7,6.71,94.3,15.4,50.4,70.2,3.0,16.6826,80.0353,9.4
Mothbeans,Clayey,Normal,Low,None,Moderate,Yes,0.279,21.5,28.4,64.0,70.1,6.31,32.9,52.6,18.0,63.5,5.55,36.3128,88.1689,2.3
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.446,13.4,33.0,68.7,62.5,7.39,43.3,64.5,24.2,53.3,2.71,22.3646,95.6438,3.4
Jute,Clayey,Rainy,High,None,Low,No,0.628,49.5,26.4,74.6,176.0,6.61,63.1,58.7,35.3,69.1,5.57,21.9575,76.5949,12.9
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.434,37.6,24.4,94.5,108.5,6.05,13.3,7.9,44.3,51.5,2.79,34.6729,73.0476,7.2
Apple,Silty,Normal,High,Apple Scab,Low,No,0.301,45.9,22.9,94.9,106.8,6.33,20.0,132.2,198.9,88.4,4.32,22.2979,94.1871,0.2
Coconut,Clayey,Rainy,High,Root Wilt,Low,No,0.591,57.9,29.7,97.2,222.9,5.77,27.3,28.8,34.7,46.3,2.33,9.2675,90.964,0.0
Pigeonpeas,Loamy,Normal,High,None,Low,No,0.428,37.4,27.6,57.7,111.8,7.4,9.8,70.9,19.7,50.0,4.49,25.6098,69.4861,9.7
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.457,46.2,23.0,90.1,112.4,5.91,37.7,19.6,41.5,50.1,2.83,9.3241,68.5216,0.0
Watermelon,Clayey,Normal,Low,Anthracnose,High,Yes,0.545,11.7,22.4,80.7,47.9,6.76,104.1,18.5,47.7,69.4,2.16,11.7037,79.4058,0.8
Pomegranate,Sandy,Normal,High,Bacterial Blight,Low,No,0.228,32.9,21.6,88.3,100.3,6.98,1.8,12.0,37.9,46.3,2.3,21.1745,78.5029,14.6
Coffee,Silty,Normal,High,None,Low,No,0.636,44.1,20.9,69.1,112.2,7.41,89.5,26.2,26.2,52.1,4.4,14.9229,85.0008,10.5
Pigeonpeas,Sandy,Normal,High,Fusarium Wilt,Low,No,0.445,24.1,37.8,56.2,120.6,7.37,32.9,67.6,16.2,54.9,3.09,23.5612,89.0829,0.0
Mothbeans,Clayey,Normal,Medium,None,High,Yes,0.45,18.6,31.7,55.2,47.0,4.88,38.4,51.5,18.8,38.2,1.75,12.0138,94.1814,0.0
Apple,Clayey,Normal,High,Apple Scab,Low,No,0.381,47.1,21.1,93.7,109.5,5.66,6.0,141.6,201.4,83.3,4.54,18.8887,82.4681,15.5
Mango,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.419,35.0,34.1,53.2,97.5,5.05,21.1,22.6,27.7,40.1,2.07,35.1808,76.3804,4.4
Coffee,Clayey,Rainy,Low,Root Rot,Low,No,0.583,43.5,26.0,69.6,164.2,6.53,85.7,17.7,33.5,68.6,4.68,22.2122,75.5905,13.3
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.763,46.1,28.2,82.2,162.4,5.92,109.3,50.2,41.1,69.5,3.84,30.767,85.4133,2.5
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.322,25.1,32.9,62.0,68.0,7.3,39.6,65.7,16.9,52.5,2.71,14.3477,83.6998,0.0
Cotton,Silty,Normal,High,Bacterial Blight,Moderate,Yes,0.657,20.3,24.5,78.9,65.8,5.93,107.8,57.5,16.1,68.9,3.46,9.0127,81.8529,13.5
Apple,Sandy,Normal,High,None,Low,No,0.29,30.2,22.7,94.5,105.7,6.29,3.7,135.6,195.9,90.2,6.26,30.1046,76.8475,16.3
Maize,Clayey,Cool,Low,None,Moderate,Yes,0.45,38.6,18.9,59.7,93.1,5.79,88.3,41.1,17.6,59.8,5.23,14.6269,91.7522,5.0
Pigeonpeas,Clayey,Rainy,High,Fusarium Wilt,Low,No,0.469,56.7,35.6,51.6,185.8,6.39,25.2,74.4,15.4,61.9,3.18,26.0519,79.9815,0.0
Papaya,Sandy,Normal,High,Papaya Ring Spot Virus,Low,No,0.552,39.5,33.4,94.3,130.1,6.66,46.3,40.7,50.9,66.3,3.48,36.1347,71.7325,7.5
Pomegranate,Sandy,Normal,High,Bacterial Blight,Low,No,0.354,32.9,20.2,93.2,114.0,5.87,23.3,10.2,43.6,52.8,2.81,27.9303,71.6402,2.9
Chickpea,Loamy,Normal,Low,None,Moderate,Yes,0.372,28.9,27.7,18.4,71.0,7.84,53.8,73.1,82.6,55.9,4.48,16.9641,87.7952,0.0
Chickpea,Silty,Normal,Medium,None,Moderate,Yes,0.448,33.1,27.4,17.8,92.7,7.97,33.6,79.9,78.9,49.6,4.14,24.2822,80.5434,3.3
Orange,Clayey,Cool,High,Citrus Canker,Low,No,0.319,50.9,14.7,92.1,116.5,7.11,0.6,12.0,5.0,41.5,2.58,15.7543,81.326,14.4
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.752,46.2,32.9,83.0,174.1,5.25,118.0,40.3,40.2,60.8,3.77,12.2,89.3914,0.0
Maize,Loamy,Normal,Low,None,Moderate,Yes,0.573,23.1,28.9,58.0,87.9,6.98,90.6,35.5,24.7,62.3,5.34,10.7406,70.8238,0.5
Kidneybeans,Clayey,Normal,Low,Anthracnose,Low,No,0.347,33.9,22.5,19.9,110.7,6.01,0.2,65.4,15.5,54.9,4.08,35.5855,92.1707,16.7
Watermelon,Sandy,Normal,High,Anthracnose,High,Yes,0.592,26.6,20.5,89.5,41.5,6.33,106.8,11.0,54.7,71.3,1.87,17.4839,91.4438,0.0
Chickpea,Silty,Cool,Low,Botrytis Gray Mold,Moderate,Yes,0.442,30.0,17.7,16.8,93.3,5.54,30.3,76.6,82.8,63.2,3.46,16.9506,93.5961,7.5
Blackgram,Loamy,Normal,High,Powdery Mildew,Moderate,Yes,0.283,20.6,34.5,69.8,73.2,7.25,23.3,78.3,22.8,57.9,2.86,21.7582,89.6209,17.1
Grapes,Clayey,Normal,High,Anthracnose,Moderate,Yes,0.268,22.0,22.9,80.8,68.2,6.39,8.9,120.8,199.8,87.0,3.94,10.9654,74.1401,10.4
Papaya,Sandy,Rainy,High,Papaya Ring Spot Virus,Low,No,0.538,77.2,37.0,92.8,247.7,6.56,51.8,35.1,50.7,68.1,3.68,36.4674,72.1068,0.0
Pomegranate,Silty,Cool,Medium,Bacterial Blight,Low,No,0.346,49.1,18.5,86.2,114.3,6.45,36.3,8.3,39.2,58.4,4.15,8.3643,90.1829,0.0
Jute,Clayey,Rainy,High,Anthracnose,Low,No,0.653,53.7,22.4,73.4,165.6,6.04,66.1,59.6,39.9,64.3,3.32,28.4463,80.6228,12.0
Grapes,Loamy,Cool,Medium,Anthracnose,Moderate,Yes,0.317,37.7,12.8,84.2,72.3,6.16,17.3,132.9,202.7,87.8,4.52,35.6219,88.6905,3.2
Pigeonpeas,Silty,Rainy,High,None,Low,No,0.426,51.5,26.3,55.7,176.4,6.16,11.2,78.9,23.0,57.2,4.62,25.3429,93.8529,11.8
Mothbeans,Sandy,Normal,Medium,None,Moderate,Yes,0.425,24.1,27.6,41.9,63.9,7.49,22.0,39.0,23.4,44.7,3.47,16.5525,81.1131,1.9
Mothbeans,Clayey,Normal,Medium,None,Moderate,Yes,0.368,29.6,27.1,39.9,68.9,9.52,1.6,37.7,19.9,14.5,1.51,33.4386,69.3409,14.7
Mango,Silty,Normal,High,Powdery Mildew,Low,No,0.392,23.9,31.6,51.4,101.2,6.95,9.1,36.9,26.6,55.6,3.52,31.405,69.377,11.8
Maize,Sandy,Normal,Low,None,Moderate,Yes,0.36,13.6,29.0,64.7,60.9,6.35,67.7,41.7,17.0,67.7,5.52,16.9567,92.8189,12.1
Mango,Loamy,Normal,Medium,None,Moderate,Yes,0.246,32.1,26.6,46.2,92.7,4.81,13.5,38.2,29.3,33.8,3.12,19.0601,88.4751,6.2
Jute,Sandy,Rainy,High,Stem Rot,Low,No,0.564,39.1,28.7,85.5,153.1,6.63,84.5,52.1,35.3,68.6,3.93,15.9046,90.7599,0.0
Pomegranate,Sandy,Normal,High,Bacterial Blight,Low,No,0.379,29.4,21.1,93.0,112.0,6.29,4.8,8.6,40.5,54.1,3.24,13.9492,77.8749,13.5
Blackgram,Silty,Normal,Low,None,Moderate,Yes,0.497,35.7,26.9,68.9,74.2,7.33,46.7,67.9,21.5,56.7,4.36,13.9898,96.3382,0.0
Jute,Silty,Rainy,Medium,None,Low,No,0.563,51.6,22.5,74.7,191.4,6.59,92.1,50.7,35.3,74.3,7.7,8.4092,93.999,2.5
Rice,Loamy,Rainy,High,Rice Blast,Low,No,0.772,77.2,34.8,82.9,297.1,5.7,62.7,43.4,42.6,59.2,3.08,25.9097,73.4153,23.8
Cotton,Sandy,Normal,High,Bacterial Blight,Moderate,Yes,0.717,36.7,20.9,84.4,73.3,6.17,128.0,57.0,19.2,66.9,3.2,32.6014,83.1189,4.7
Maize,Clayey,Normal,Low,None,Moderate,Yes,0.594,27.0,21.2,66.6,97.8,5.63,77.4,35.6,19.2,53.3,4.68,13.7323,78.9531,2.2
Mothbeans,Sandy,Normal,Medium,None,High,Yes,0.278,18.7,25.4,60.4,42.0,5.18,21.4,41.7,17.2,40.2,2.34,33.3951,86.43,0.9
Kidneybeans,Silty,Cool,Low,None,Low,No,0.392,43.3,19.1,18.0,116.7,6.25,13.1,78.3,16.1,60.6,6.25,28.0366,80.2839,8.2
Papaya,Silty,Rainy,High,Papaya Ring Spot Virus,Low,No,0.611,55.4,37.5,92.0,169.5,6.58,69.1,37.5,48.4,65.9,3.43,19.8825,78.1321,0.7
Banana,Silty,Normal,High,None,Low,No,0.592,37.7,28.4,75.2,110.4,6.34,81.3,89.6,45.2,78.9,6.37,26.8912,87.9981,15.8
Rice,Silty,Rainy,High,Rice Blast,Low,No,0.654,79.6,26.2,82.1,299.6,5.83,64.9,43.5,35.7,57.2,3.41,13.0757,94.3068,23.6
Lentil,Loamy,Normal,High,None,High,Yes,0.271,25.4,29.5,62.9,46.7,6.07,7.2,58.8,20.3,51.8,2.39,8.6344,75.9742,13.4
Blackgram,Silty,Normal,High,Powdery Mildew,Moderate,Yes,0.425,29.4,33.2,67.5,74.0,7.15,56.3,72.1,24.6,61.0,2.52,11.1679,73.2361,0.0
Mango,Clayey,Normal,Low,None,Moderate,Yes,0.402,26.6,25.7,55.0,97.7,6.89,20.9,38.4,30.0,56.9,5.04,16.741,75.4018,0.0
Orange,Clayey,Normal,High,Citrus Canker,Low,No,0.267,42.1,33.6,94.6,111.8,6.16,2.8,17.8,11.2,45.8,3.03,17.0219,73.3711,13.4
Chickpea,Clayey,Normal,Low,None,Moderate,Yes,0.291,37.5,28.4,16.9,91.1,7.39,34.5,79.6,79.8,63.8,5.38,13.0443,78.9841,2.6
Blackgram,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.418,29.7,32.6,61.7,65.2,7.01,43.3,76.8,18.1,63.3,2.95,22.8026,73.8542,0.0
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.273,27.7,21.7,89.1,106.6,5.92,22.9,7.0,44.6,47.7,2.76,33.5828,80.1296,3.8
Jute,Loamy,Rainy,High,None,Low,No,0.594,38.6,28.1,71.1,158.6,6.17,81.8,38.7,40.7,68.2,5.3,23.0382,91.6385,1.2
Mango,Sandy,Normal,High,None,Moderate,Yes,0.465,29.3,29.9,45.7,96.1,6.84,25.0,31.0,25.3,59.4,3.77,18.4884,78.7419,0.0
Rice,Sandy,Rainy,High,Rice Blast,Low,No,0.639,71.8,29.9,82.1,270.1,6.14,63.0,38.8,41.8,63.9,3.82,28.2594,86.2641,22.6
Chickpea,Clayey,Cool,Low,None,Moderate,Yes,0.411,36.2,19.2,17.1,91.1,6.02,41.6,69.8,76.1,67.2,5.78,27.605,75.9609,0.0
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.324,52.1,27.3,96.3,169.1,5.91,10.7,24.9,30.5,49.4,3.15,12.5493,94.9841,11.1
Blackgram,Clayey,Normal,High,Powdery Mildew,Moderate,Yes,0.403,35.2,28.2,66.7,73.4,7.3,37.7,77.9,19.4,53.7,2.16,14.6604,80.1291,2.0
Muskmelon,Clayey,Normal,High,None,High,Yes,0.445,12.0,29.3,94.7,26.5,6.47,95.4,17.4,51.8,73.1,3.26,8.8242,95.3292,4.1
Blackgram,Clayey,Normal,High,None,Moderate,Yes,0.361,19.0,25.7,69.3,69.0,6.53,24.8,74.3,22.0,68.3,4.49,35.6643,70.725,14.9
Kidneybeans,Sandy,Cool,Low,None,Moderate,Yes,0.283,23.1,15.3,19.7,65.1,6.19,0.0,77.1,24.1,62.6,5.24,14.6573,81.7965,16.5
Grapes,Loamy,Cool,Low,Anthracnose,Moderate,Yes,0.324,28.3,18.4,81.4,74.3,5.89,9.0,136.4,198.2,87.5,4.53,19.3376,81.501,12.9
Mango,Clayey,Normal,Low,None,Low,No,0.262,39.6,25.7,45.6,104.5,5.85,19.1,33.8,25.4,50.0,5.12,19.9037,76.4292,4.6
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.424,43.2,24.7,89.5,101.0,6.84,15.9,27.5,43.3,60.9,3.47,32.5998,73.2974,3.5
Chickpea,Sandy,Normal,Medium,None,Moderate,Yes,0.343,33.4,30.0,13.5,85.4,7.36,30.9,69.9,75.6,63.0,4.75,27.3404,88.8966,7.6
Jute,Clayey,Rainy,High,Stem Rot,Low,No,0.523,46.8,28.6,88.5,172.2,7.22,76.5,58.4,40.3,65.0,3.99,33.0282,72.3209,1.0
Pigeonpeas,Loamy,Rainy,High,Fusarium Wilt,Low,No,0.458,46.5,37.9,58.8,186.9,4.91,7.5,79.4,22.3,42.1,2.84,11.1046,72.3078,14.2
Blackgram,Sandy,Normal,High,Powdery Mildew,Moderate,Yes,0.299,21.2,31.7,65.9,68.5,6.56,42.9,57.9,21.6,64.2,2.66,13.073,82.7726,0.0
Coconut,Loamy,Rainy,High,Root Wilt,Low,No,0.452,45.4,28.6,98.9,172.9,6.34,14.8,7.4,25.1,51.6,3.05,25.6617,91.0457,7.2
Jute,Silty,Rainy,High,None,Low,No,0.626,60.4,26.1,79.4,169.5,7.12,82.3,46.3,39.1,64.1,5.44,33.9915,92.4532,0.0
Jute,Sandy,Rainy,Low,None,Low,No,0.611,47.4,26.0,70.6,170.2,7.21,83.4,52.0,36.4,64.9,6.95,16.7302,87.1795,4.5
Mungbean,Silty,Normal,High,None,High,Yes,0.275,18.8,28.4,81.0,40.4,6.13,27.0,44.1,23.5,54.7,2.21,35.639,76.4337,5.0
Kidneybeans,Clayey,Normal,High,None,Moderate,Yes,0.258,42.4,22.5,24.3,97.8,5.58,8.2,77.7,16.1,54.4,3.75,36.4427,68.1109,11.0
Pomegranate,Loamy,Normal,High,Bacterial Blight,Low,No,0.442,46.2,20.1,89.7,111.7,5.93,15.4,28.1,39.4,54.8,3.27,22.0137,90.6574,5.1
Cotton,Clayey,Normal,Medium,Bacterial Blight,Moderate,Yes,0.71,22.5,20.4,84.3,79.6,7.48,136.8,48.5,17.5,63.7,3.28,26.3933,95.7811,4.8
Watermelon,Silty,Normal,Low,Anthracnose,High,Yes,0.436,15.9,20.4,80.6,48.0,6.87,83.3,30.0,47.4,61.5,2.64,26.6236,88.6351,17.9
Muskmelon,Silty,Normal,High,None,High,Yes,0.499,10.0,25.5,90.4,22.3,6.01,102.5,28.4,45.8,67.7,2.87,25.1054,95.8806,3.5
Cotton,Silty,Normal,Low,Bacterial Blight,Moderate,Yes,0.622,27.8,21.9,75.9,77.3,6.04,117.5,36.7,16.7,66.7,3.61,12.6863,96.6102,0.8
Pigeonpeas,Silty,Rainy,Low,None,Low,No,0.508,66.7,19.9,44.2,178.0,6.82,18.1,71.7,24.2,60.8,5.86,20.4353,73.8971,1.3
Coconut,Sandy,Rainy,High,Root Wilt,Low,No,0.479,57.6,27.2,95.2,208.3,6.23,24.8,18.9,27.6,53.4,2.7,11.0702,89.3549,1.6
Apple,Clayey,Normal,High,Apple Scab,Low,No,0.41,47.5,21.3,93.4,112.6,6.47,35.1,131.7,196.1,96.9,4.26,29.1482,87.9346,2.2
Blackgram,Clayey,Normal,Low,None,Moderate,Yes,0.334,23.8,25.8,64.9,68.7,7.22,28.6,79.6,21.8,59.1,4.49,29.1281,88.5051,9.9
Rice,Clayey,Rainy,High,Rice Blast,Low,No,0.691,71.4,34.2,82.4,248.7,5.79,95.3,36.7,36.4,63.8,3.78,21.5472,95.1968,0.0
Pomegranate,Silty,Normal,High,Bacterial Blight,Low,No,0.344,30.1,23.4,89.4,103.9,5.54,39.8,9.0,41.6,49.2,2.67,16.1964,96.9359,1.2
